地域区分,No,地区(大字・町名),施設名称,所在地,洪水,土砂災害,高潮,地震,津波,大規模な火事,内水氾濫・火山現象,指定避難所,混雑度,多目的トイレ,ペット可,車いす対応
nanbu,2,荒川,青森県総合社会教育センター,青森市大字荒川字藤戸119-7,,,O,,,,,,空いている,なし,なし,あり
nanbu,3,荒川,青森県立図書館,青森市大字荒川字藤戸119-7,,,O,,,,,X,やや空いている,あり,あり,あり
nanbu,4,荒川,荒川市民センター,青森市大字荒川字柴田129-1,O,,,,,O,,,やや混雑,あり,なし,あり
nanbu,5,荒川,荒川小学校,青森市大字荒川字柴田92-5,O,,,,,,,,混雑,なし,なし,なし
nanbu,6,牛館,牛館ふれあいセンター,青森市大字牛館字松枝84-3,X,,,,,,,,満員,あり,なし,なし
nanbu,7,大別内,障害者支援施設金浜療護園,青森市大字大別内字野田180,3階以上,,O,,,,,福祉,空いている,あり,あり,あり
nanbu,8,大矢沢,青森県総合学校教育センター,青森市大字大矢沢字野田80-2,O,,O,,,,,,やや空いている,なし,なし,あり
nanbu,9,大矢沢,中央市民センター大矢沢分館,青森市大矢沢字里見35-2,O,,,,,,,,やや混雑,あり,なし,あり
nanbu,10,金浜,荒川小・中学校金浜分教室,青森市大字金浜字伊吹22-1,O,,,,,,O,,混雑,あり,なし,なし
nanbu,11,金浜,荒川中学校,青森市大字金浜字稲田107,2階以上,,,O,X,,,,満員,なし,あり,なし
nanbu,12,合子沢,青森公立大学,青森市大字合子沢字山崎153-4,,,,,,,,,空いている,あり,なし,あり
nanbu,13,合子沢,中央市民センター合子沢分館,青森市大字合子沢字松森93,,,O,,X,,,X,やや空いている,あり,なし,あり
nanbu,14,幸畑(大字),幸畑小学校,青森市大字幸畑字松元50-2,O,,,,,,,,やや混雑,なし,なし,あり
nanbu,15,幸畑2丁目,青森大学,青森市幸畑二丁目3-1,,,,,,,,,混雑,あり,あり,なし
nanbu,16,幸畑2丁目,幸畑福祉館,青森市幸畑二丁目2-2,O,,O,,,,,,満員,あり,なし,なし
nanbu,17,幸畑3丁目,阿部野北公園,青森市幸畑三丁目693,,,,,,,,,空いている,なし,なし,あり
nanbu,18,幸畑3丁目,幸畑中央公園,青森市幸畑三丁目983-2外,,,O,,,,,X,やや空いている,あり,なし,あり
nanbu,19,高田,介護医療院カトレア,青森市大字高田字川瀬110-1,X,,,,,,,福祉,やや混雑,あり,あり,あり
nanbu,20,高田,高田教育福祉センター,青森市大字高田字日野229-1,O,,,,,,,O,混雑,なし,なし,なし
nanbu,21,高田,高田小学校,青森市大字高田字川瀬200-5,X,,,O,,,,O,満員,あり,なし,なし
nanbu,22,高田,特別養護老人ホーム寿幸園,青森市大字高田字川瀬186,,,,,,,,福祉,空いている,あり,なし,あり
nanbu,23,田茂木野,中央市民センター田茂木野分館,青森市大字田茂木野字阿部野77,,,O,,,,,X,やや空いている,なし,あり,あり
nanbu,24,田茂木野,特別養護老人ホーム正寿園,青森市大字田茂木野字阿部野63-2,X,,X,,,,,福祉,やや混雑,あり,なし,あり
nanbu,25,野木,野木ふるさと館,青森市大字野木字山口140-2,,,,,,,,,混雑,あり,なし,なし
nanbu,26,野沢,青森市小牧野遺跡保護センター「縄文の学び舎・小牧野館」(旧野沢小学校),青森市大字野沢字沢部108-3,,,,,,,,,満員,なし,なし,なし
nanbu,27,野尻,青森県身体障がい者福祉センターねむのき会館,青森市大字野尻字今田52-4,,,,,,,,,空いている,あり,あり,あり
nanbu,28,野尻,青森高等技術専門校,青森市大字野尻字今田43-1,,,O,,,,,,やや空いている,あり,なし,あり
nanbu,29,野尻,横内小学校,青森市大字野尻字野田60,O,,,,,,O,,やや混雑,なし,なし,あり
nanbu,30,雲谷,特別養護老人ホーム雲谷木こりの里,青森市大字雲谷字山吹92-170,X,,,,,,,福祉,混雑,あり,なし,なし
nanbu,31,横内,青森中央学院大学,青森市大字横内字神田12-1,O,O,,,,O,X,O,満員,あり,あり,なし
nanbu,32,横内,障害児入所施設八甲学園,青森市大字横内字桜苅63-1,,,X,,,,X,福祉,空いている,なし,なし,あり
nanbu,33,横内,特別養護老人ホーム三思園,青森市大字横内字若草1-1,X,,X,,,X,,福祉,やや空いている,あり,なし,あり
nanbu,34,横内,特別養護老人ホーム朝光苑,青森市大字横内字亀井245-1,X,X,X,X,,,,福祉,やや混雑,あり,なし,あり
nanbu,35,横内,青森中央学院大学(総合グラウンド・サブグラウンド),青森市大字横内字神田12-1,,,,,,,,,混雑,なし,あり,なし
nanbu,36,横内,横内市民センター,青森市大字横内字亀井28-2,O,O,O,,,,,,満員,あり,なし,なし
nanbu,37,幸畑1丁目,幸畑西公園,青森市幸畑一丁目907-1外,O,O,,,,,,,空いている,あり,なし,あり
nanbu,38,幸畑4丁目,幸畑ひばりヶ丘公園,青森市幸畑四丁目228-95,,O,,,,,,X,やや空いている,なし,なし,あり
nanbu,39,高田,太陽台市民館,青森市大字高田字朝日山809-334,,,,O,,,,,やや混雑,あり,あり,あり
nanbu,40,四ッ石,横内中学校,青森市大字四ツ石字里見64-6,O,O,,,,,,O,混雑,あり,なし,なし
nanbu,41,第二問屋町3丁目,八ツ役北公園,青森市第二問屋町三丁目1-44外,O,,,,,O,X,X,満員,なし,なし,なし
nanbu,42,入内,野沢小学校入内分校跡地,青森市大字入内字駒田18-1,,,,O,,,,X,空いている,あり,なし,あり
nanbu,43,問屋町1丁目,青森市はまなす会館,青森市問屋町一丁目10-10,,,O,,,,,X,やや空いている,あり,あり,あり
nanbu,44,野木,野木中央公園,青森市大字野木字山口15-8外,O,,O,O,,,X,O,やや混雑,なし,なし,あり
toubu,1,赤坂1丁目,戸山中学校,青森市赤坂一丁目1-1,O,O,,O,,X,,O,混雑,あり,なし,なし
toubu,2,浅虫,浅虫緑地,青森市大字浅虫字山下368-2外,,,,,,,,,満員,あり,なし,なし
toubu,3,浅虫,割烹旅館さつき 駐車場,青森市大字浅虫字蛍谷71-7,,O,O,,O,,,,空いている,なし,あり,あり
toubu,4,浅虫,旧浅虫小学校(グラウンド),青森市大字浅虫字山下132,O,X,,O,,,,X,やや空いている,あり,なし,あり
toubu,5,浅虫,軽費老人ホーム和幸園,青森市大字浅虫字内野48-1,,X,,X,X,,,福祉,やや混雑,あり,なし,あり
toubu,6,浅虫,軽費老人ホーム和幸園 駐車場,青森市大字浅虫字内野48-1,X,X,O,,,,,,混雑,なし,なし,なし
toubu,7,浅虫,辰巳館 別館,青森市大字浅虫字山下281,2階以上,O,,O,2階以上,,,,満員,あり,あり,なし
toubu,8,浅虫,南部屋 海扇閣,青森市大字浅虫字蛍谷31,X,,X,X,2階以上,X,X,,空いている,あり,なし,あり
toubu,9,浅虫,ホテル秋田屋,青森市大字浅虫字蛍谷293-12,X,,,X,2階以上,,,,やや空いている,なし,なし,あり
toubu,10,浅虫,夢宅寺,青森市大字浅虫字山下208,,X,,,,,,X,やや混雑,あり,なし,あり
toubu,11,浅虫,ゆ〜さ浅虫,青森市大字浅虫字蛍谷341-19,O,O,O,O,2階以上,X,,,混雑,あり,あり,なし
toubu,12,泉野,障害者支援施設 幸養苑,青森市大字泉野字野脇46-61,X,,O,O,,2階以上,,福祉,満員,なし,なし,なし
toubu,13,岡造道2丁目,造道中学校,青森市岡造道二丁目14-1,,,,,,,,,空いている,あり,なし,あり
toubu,14,合浦1丁目,カクヒログループ 体育館(青森市スポーツ会館),青森市合浦一丁目13-1,2階以上,O,2階以上,O,3階以上,X,,,やや空いている,あり,なし,あり
toubu,15,合浦2丁目,合浦公園,青森市合浦二丁目86外,X,,X,,X,,,,やや混雑,なし,あり,あり
toubu,16,久栗坂,旧浅虫中学校,青森市大字久栗坂字浜田129-5,,O,O,,O,,,,混雑,あり,なし,なし
toubu,17,久栗坂,特別養護老人ホームかいふう,青森市大字久栗坂字山辺89-10,X,,,X,,,X,福祉,満員,あり,なし,なし
toubu,18,駒込,青森月見寮,青森市大字駒込字月見野918-3,,,X,,,X,,福祉,空いている,なし,なし,あり
toubu,19,駒込,桐ノ沢公園,青森市大字駒込字桐ノ沢3-1,X,O,,,,,,,やや空いている,あり,あり,あり
toubu,20,駒込,中央市民センター駒込分館,青森市大字駒込字見吉159,O,,,,,,,,やや混雑,あり,なし,あり
toubu,21,駒込,特別養護老人ホームけやきの園,青森市大字駒込字蛍沢387,,,X,,,X,,福祉,混雑,なし,なし,なし
toubu,22,駒込,養護老人ホーム藤ホーム,青森市大字駒込字蛍沢387-3,X,,,,,,X,福祉,満員,あり,なし,なし
toubu,23,小柳3丁目,中央市民センター小柳分館,青森市小柳三丁目3-5,O,O,,,,,,,空いている,あり,あり,あり
toubu,24,小柳4丁目,小柳小学校,青森市小柳四丁目6-1,O,O,,O,,X,,O,やや空いている,なし,なし,あり
toubu,25,自由ヶ丘1丁目,自由ヶ丘西公園,青森市自由ヶ丘一丁目4,,,,,,,,,やや混雑,あり,なし,あり
toubu,26,自由ヶ丘2丁目,自由ヶ丘中央公園,青森市自由ヶ丘二丁目11,X,O,O,O,O,,,,混雑,あり,なし,なし
toubu,27,田屋敷,浜館小学校,青森市大字田屋敷字下り松17,O,O,,O,,,,,満員,なし,あり,なし
toubu,28,茶屋町,合浦小学校,青森市茶屋町32-17,2階以上,O,2階以上,,3階以上,,,,空いている,あり,なし,あり
toubu,29,茶屋町,茶屋町公園,青森市茶屋町32-21,X,O,X,,X,O,O,,やや空いている,あり,なし,あり
toubu,30,佃1丁目,佃福祉館,青森市佃一丁目3-21,X,O,,X,X,O,X,X,やや混雑,なし,なし,あり
toubu,31,佃2丁目,佃小学校,青森市佃二丁目6-1,2階以上,O,O,O,2階以上,X,X,,混雑,あり,あり,なし
toubu,32,造道3丁目,造道小学校,青森市造道三丁目4-16,2階以上,,,,3階以上,,,,満員,あり,なし,なし
toubu,33,戸山,青森商業高等学校,青森市戸山字安原7-1,1階以上,O,,,O,,,,空いている,なし,なし,あり
toubu,34,戸山,中央市民センター戸山分館,青森市大字戸山字赤坂15-5,O,O,,X,X,,,X,やや空いている,あり,なし,あり
toubu,35,中佃2丁目,佃中学校,青森市中佃二丁目7-1,2階以上,,,,,,,,やや混雑,あり,あり,あり
toubu,36,虹ヶ丘1丁目,虹ヶ丘公園,青森市虹ヶ丘一丁目9,O,O,O,,,,,,混雑,なし,なし,なし
toubu,37,花園2丁目,花園町公園,青森市花園二丁目12,X,O,X,,X,,,,満員,あり,なし,なし
toubu,38,浜館(大字),県立保健大学,青森市大字浜館字間瀬58-1,,,,,,X,,,空いている,あり,なし,あり
toubu,39,はまなす1丁目,国家公務員合同宿舎野内住宅,青森市はまなす一丁目2-1外,1階以上,O,O,,3階以上,,,,やや空いている,なし,あり,あり
toubu,40,原別3丁目,青森東高等学校,青森市原別三丁目1-1,1階以上,O,,,2階以上,,,,やや混雑,あり,なし,あり
toubu,41,東造道1丁目,国家公務員合同宿舎造道住宅,青森市東造道一丁目5-1,O,O,,O,2階以上,X,,,混雑,あり,なし,なし
toubu,42,蛍沢3丁目,戸山西小学校,青森市蛍沢三丁目1-1,1階以上,,,,,,,,満員,なし,なし,なし
toubu,43,蛍沢4丁目,戸山市民センター,青森市蛍沢四丁目1-4,1階以上,O,O,,O,,,,空いている,あり,あり,あり
toubu,44,松森3丁目,中央市民センター松森分館,青森市松森三丁目20-14,X,O,,X,X,,,,やや空いている,あり,なし,あり
toubu,45,馬屋尻,青森工業高等学校,青森市大字馬屋尻字清水流204-1,1階以上,,,,,,,,やや混雑,なし,なし,あり
toubu,46,港町3丁目,市営住宅合浦団地,青森市港町三丁目11-5,2階以上,O,2階以上,,3階以上,,,,混雑,あり,なし,なし
toubu,47,宮田,新青森県総合運動公園,青森市大字宮田字高瀬地内,,O,,O,,,,,満員,あり,あり,なし
toubu,48,宮田,東陽小学校,青森市大字宮田字玉水181-1,,,,,,X,,,空いている,なし,なし,あり
toubu,49,宮田,マエダアリーナ(新青森県総合運動公園総合体育館),青森市大字宮田字高瀬22-2,O,O,,,,,,,やや空いている,あり,なし,あり
toubu,50,矢田,特別養護老人ホーム和幸園,青森市大字矢田字下野尻48-3,,,X,,,X,,福祉,やや混雑,あり,なし,あり
toubu,51,矢田前,介護老人保健施設青森ナーシングライフ,青森市大字矢田前字弥生田47-2,,,X,,,X,,福祉,混雑,なし,あり,なし
toubu,52,八幡林,東中学校,青森市大字八幡林字熊谷28,2階以上,,,,,,,,満員,あり,なし,なし
toubu,53,蛍沢3丁目,戸山西公園,青森市蛍沢三丁目17-18,,O,,O,,,,,空いている,あり,なし,あり
toubu,54,蛍沢4丁目,戸山中央公園,青森市蛍沢四丁目48-188,,O,,O,,,,,やや空いている,なし,なし,あり
toubu,55,蛍沢4丁目,戸山南公園,青森市蛍沢四丁目48-26外,X,,,,,,,X,やや混雑,あり,あり,あり
toubu,56,原別(大字),原別小学校,青森市大字原別字袖崎8,1階以上,O,,,O,,,,混雑,あり,なし,なし
toubu,57,原別3丁目,東部市民センター,青森市原別三丁目8-1,1階以上,O,,O,2階以上,,,,満員,なし,なし,なし
toubu,58,港町2丁目,ジャムフレンドクラブ青森,青森市港町二丁目10-23,2階以上,X,2階以上,X,X,,,X,空いている,あり,なし,あり
toubu,59,港町3丁目,介護老人保健施設みちのくの海,青森市港町三丁目6-3,X,X,,X,X,,X,福祉,やや空いている,あり,あり,あり
toubu,60,合浦1丁目,浪打中学校,青森市合浦一丁目11-10,2階以上,O,2階以上,O,3階以上,,,,やや混雑,なし,なし,あり
toubu,61,小柳1丁目,居宅介護支援事業所ふれあい,青森市小柳一丁目17-18,X,,,X,X,X,X,福祉,混雑,あり,なし,なし
toubu,62,小柳1丁目,グループホームふれあい,青森市小柳一丁目17-17,X,,,,,,,福祉,満員,あり,なし,なし
toubu,63,小柳1丁目,デイサービスセンターふれあい,青森市小柳一丁目17-18,,,X,X,,X,,福祉,空いている,なし,あり,あり
toubu,64,小柳4丁目,小柳緑地,青森市小柳四丁目132-1外,X,O,,,,X,,X,やや空いている,あり,なし,あり
toubu,65,小柳6丁目,ほろがけ福祉館,青森市小柳六丁目2-7,,,,,,,,,やや混雑,あり,なし,あり
toubu,66,赤坂1丁目,戸山中央緑地,青森市赤坂一丁目268-180外,X,O,O,,,,,,混雑,なし,なし,なし
toubu,67,赤坂1丁目,戸山東公園,青森市赤坂一丁目59-65,,O,,,,,,,満員,あり,あり,なし
toubu,68,赤坂2丁目,戸山北公園,青森市赤坂二丁目78-263,,,,,X,,,,空いている,あり,なし,あり
toubu,69,造道3丁目,2号遊歩道緑地,青森市造道三丁目〜大字泉野字野脇地内,X,O,,,,,,,やや空いている,なし,なし,あり
toubu,70,造道3丁目,造道福祉館,青森市造道三丁目12-3,,O,,,,,,X,やや混雑,あり,なし,あり
toubu,71,佃2丁目,つくだウェザーパーク,青森市佃二丁目155-16,X,O,,O,X,,,,混雑,あり,あり,なし
toubu,72,浜館(大字),老人ホーム安生園,青森市大字浜館字間瀬85-1,X,,,,,,,福祉,満員,なし,なし,なし
toubu,73,浜館2丁目,はまだて公園,青森市浜館二丁目9-1外,,O,O,O,,,,,空いている,あり,なし,あり
toubu,74,浜館4丁目,えのき公園,青森市浜館四丁目4,O,O,,O,X,,,,やや空いている,あり,なし,あり
toubu,75,野内,野内小学校,青森市大字野内字菊川155,1階以上,O,1階以上,2階以上,X,,,,やや混雑,なし,あり,あり
toubu,76,浪打1丁目,浪打小学校,青森市浪打一丁目4-1,2階以上,O,O,2階以上,,O,X,,混雑,あり,なし,なし
toubu,77,浪打2丁目,青森明の星短期大学,青森市浪打二丁目6-32,2階以上,O,,2階以上,O,,,,満員,あり,なし,なし
chuubu2,1,青葉3丁目,浜田福祉館,青森市青葉三丁目8-1,X,O,,,O,X,O,O,空いている,なし,なし,あり
chuubu2,2,旭町3丁目,片岡福祉館,青森市旭町三丁目7-20,,,,O,,,,,やや空いている,あり,あり,あり
chuubu2,3,浦町,青い森セントラルパーク,青森市大字浦町字橋本335-20外,X,,O,,,,,X,やや混雑,あり,なし,あり
chuubu2,4,浦町,青い森セントラルパーク東広場,青森市大字浦町字奥野102-57-1外,X,,,,O,,,X,混雑,なし,なし,なし
chuubu2,5,浦町,カクヒログループスーパーアリーナ(青森市総合体育館),青森市大字浦町字橋本335-17,,,,,,,,,満員,あり,なし,なし
chuubu2,6,大野,青い森セントラルパーク西広場,青森市大字大野字長島36-53外,O,O,O,,,,,X,空いている,あり,あり,あり
chuubu2,7,大野,大野公園,青森市大字大野字若宮76-1外,O,O,O,,O,,,X,やや空いている,なし,なし,あり
chuubu2,8,大野,大野市民センター,青森市大字大野字若宮71,,O,,,,,,X,やや混雑,あり,なし,あり
chuubu2,9,桂木2丁目,午砲台公園,青森市桂木二丁目12,,,,,,,,,混雑,あり,なし,なし
chuubu2,10,桂木3丁目,桂木北公園,青森市桂木三丁目21,,O,,,O,,,,満員,なし,あり,なし
chuubu2,11,桂木3丁目,奥野なかよし公園,青森市桂木三丁目12,X,,,,O,X,,,空いている,あり,なし,あり
chuubu2,12,金沢1丁目,甲田小学校,青森市金沢一丁目6-1,,,,,,,,,やや空いている,あり,なし,あり
chuubu2,13,金沢3丁目,甲田中学校,青森市金沢三丁目11-1,O,,O,,,,,,やや混雑,なし,なし,あり
chuubu2,14,金沢4丁目,金沢小学校,青森市金沢四丁目5-1,O,,,,O,,,,混雑,あり,あり,なし
chuubu2,15,桜川8丁目,青森高等学校,青森市桜川八丁目1-2,,,,,,,,,満員,あり,なし,なし
chuubu2,16,桜川8丁目,中央市民センター筒井分館,青森市桜川八丁目1-3,X,,,,,,,X,空いている,なし,なし,あり
chuubu2,17,桜川3丁目,筒井中学校,青森市桜川三丁目15-1,2階以上,,,,O,,,,やや空いている,あり,なし,あり
chuubu2,18,筒井(大字),京王台公園,青森市大字筒井字八ッ橋973外,X,,,,,,,X,やや混雑,あり,あり,あり
chuubu2,19,筒井(大字),中央市民センター中筒井分館,青森市大字筒井字桜川87-4,X,,,,,,,,混雑,なし,なし,なし
chuubu2,20,筒井(大字),八ッ橋ニュータウン中央公園,青森市大字筒井字八ッ橋53-4外,,O,,,O,,,,満員,あり,なし,なし
chuubu2,21,筒井1丁目,筒井小学校,青森市筒井一丁目1-1,X,,,,O,,,O,空いている,あり,なし,あり
chuubu2,22,西大野2丁目,青森南高等学校,青森市西大野二丁目12-40,1階以上,,,,,,,,やや空いている,なし,あり,あり
chuubu2,23,西大野5丁目,障害者支援施設こぶし園,青森市西大野五丁目24-11,X,,X,,,,,福祉,やや混雑,あり,なし,あり
chuubu2,24,浜田(大字),盛運輸アリーナ(青森県営スケート場),青森市大字浜田字豊田地内,O,O,O,,O,X,,X,混雑,あり,なし,なし
chuubu2,25,浜田1丁目,浜田ニュータウン西公園,青森市浜田一丁目11,O,,,,,,,X,満員,なし,なし,なし
chuubu2,26,浜田2丁目,浜田ニュータウン東公園,青森市浜田二丁目22-1,,,,,,,,,空いている,あり,あり,あり
chuubu2,27,浜田3丁目,浜田中央公園,青森市浜田三丁目2-1,,,,,,,,,やや空いている,あり,なし,あり
chuubu2,28,東大野1丁目,青森中央高等学校,青森市東大野一丁目22-1,,,,,O,,,,やや混雑,なし,なし,あり
chuubu2,29,東大野1丁目,大野小学校,青森市東大野一丁目3-1,O,O,,,,,O,,混雑,あり,なし,なし
chuubu2,30,東大野1丁目,東大野公園,青森市東大野一丁目14,O,O,O,,O,,O,X,満員,あり,あり,なし
chuubu2,31,緑1丁目,奥野西公園,青森市緑一丁目10,X,O,,,O,X,O,X,空いている,なし,なし,あり
chuubu2,32,緑2丁目,南中学校,青森市緑二丁目6-1,1階以上,,,O,,,,,やや空いている,あり,なし,あり
chuubu2,33,金沢1丁目,青森少年鑑別所,青森市金沢一丁目5-38,O,,O,,,,O,,やや混雑,あり,なし,あり
chuubu2,34,桜川1丁目,桜川八甲緑地,青森市桜川一丁目1,X,,X,,,,,X,混雑,なし,あり,なし
chuubu2,35,桜川4丁目,桜川中央公園,青森市桜川四丁目1296,O,O,O,,,,,X,満員,あり,なし,なし
chuubu2,36,西大野2丁目,明南公園,青森市西大野二丁目2,O,O,O,,,,,,空いている,あり,なし,あり
chuubu2,37,西大野3丁目,大野中央公園,青森市西大野三丁目12,O,O,,,O,,,,やや空いている,なし,なし,あり
chuubu2,38,西大野5丁目,今井公園,青森市西大野五丁目13,,O,,O,,,,X,やや混雑,あり,あり,あり
